,week_number,death_yn,cdc_case_earliest_dt,cdc_report_dt,year,month,year_month,week_range
204,2021-12-14,No,2021-12-14,338418,2021,12,2021-12,2021-12-14 to 2021-12-20
205,2021-12-14,Yes,2021-12-14,7958,2021,12,2021-12,2021-12-14 to 2021-12-20
206,2021-12-21,No,2021-12-21,555177,2021,12,2021-12,2021-12-21 to 2021-12-27
207,2021-12-21,Yes,2021-12-21,9927,2021,12,2021-12,2021-12-21 to 2021-12-27
208,2021-12-28,No,2021-12-28,939262,2021,12,2021-12,2021-12-28 to 2022-01-03
209,2021-12-28,Yes,2021-12-28,14706,2021,12,2021-12,2021-12-28 to 2022-01-03
210,2022-01-04,No,2022-01-04,1008979,2022,1,2022-01,2022-01-04 to 2022-01-10
211,2022-01-04,Yes,2022-01-04,17634,2022,1,2022-01,2022-01-04 to 2022-01-10
212,2022-01-11,No,2022-01-11,880959,2022,1,2022-01,2022-01-11 to 2022-01-17
213,2022-01-11,Yes,2022-01-11,16767,2022,1,2022-01,2022-01-11 to 2022-01-17
214,2022-01-18,No,2022-01-18,715681,2022,1,2022-01,2022-01-18 to 2022-01-24
215,2022-01-18,Yes,2022-01-18,15104,2022,1,2022-01,2022-01-18 to 2022-01-24
216,2022-01-25,No,2022-01-25,457506,2022,1,2022-01,2022-01-25 to 2022-01-31
217,2022-01-25,Yes,2022-01-25,10956,2022,1,2022-01,2022-01-25 to 2022-01-31
218,2022-02-01,No,2022-02-01,255027,2022,2,2022-02,2022-02-01 to 2022-02-07
219,2022-02-01,Yes,2022-02-01,7490,2022,2,2022-02,2022-02-01 to 2022-02-07
220,2022-02-08,No,2022-02-08,150112,2022,2,2022-02,2022-02-08 to 2022-02-14
221,2022-02-08,Yes,2022-02-08,4861,2022,2,2022-02,2022-02-08 to 2022-02-14
222,2022-02-15,No,2022-02-15,100042,2022,2,2022-02,2022-02-15 to 2022-02-21
223,2022-02-15,Yes,2022-02-15,3099,2022,2,2022-02,2022-02-15 to 2022-02-21
224,2022-02-22,No,2022-02-22,93696,2022,2,2022-02,2022-02-22 to 2022-02-28
225,2022-02-22,Yes,2022-02-22,2064,2022,2,2022-02,2022-02-22 to 2022-02-28
226,2022-03-01,No,2022-03-01,49437,2022,3,2022-03,2022-03-01 to 2022-03-07
227,2022-03-01,Yes,2022-03-01,1340,2022,3,2022-03,2022-03-01 to 2022-03-07
228,2022-03-08,No,2022-03-08,36673,2022,3,2022-03,2022-03-08 to 2022-03-14
229,2022-03-08,Yes,2022-03-08,943,2022,3,2022-03,2022-03-08 to 2022-03-14
230,2022-03-15,No,2022-03-15,40496,2022,3,2022-03,2022-03-15 to 2022-03-21
231,2022-03-15,Yes,2022-03-15,738,2022,3,2022-03,2022-03-15 to 2022-03-21
